Agent,Learning Rate,Gamma,Episodes,Solved Episode
REINFORCE + Baseline,0.01,0.99,1500,600
Basic REINFORCE,0.001,0.99,1500,800
REINFORCE + Baseline,0.001,0.99,1500,900
REINFORCE + Baseline,0.0005,0.99,1500,1300
Basic REINFORCE,0.01,0.95,1500,1400
REINFORCE + Baseline,0.01,0.95,1500,1500
Basic REINFORCE,0.001,0.95,1500,1500
Basic REINFORCE,0.01,0.99,1500,1500
REINFORCE + Baseline,0.001,0.95,1500,1500
Basic REINFORCE,0.0005,0.99,1500,1500
Basic REINFORCE,0.0005,0.95,1500,1500
REINFORCE + Baseline,0.0005,0.95,1500,1500
Basic REINFORCE,0.0001,0.99,1500,1500
REINFORCE + Baseline,0.0001,0.99,1500,1500
Basic REINFORCE,0.0001,0.95,1500,1500
REINFORCE + Baseline,0.0001,0.95,1500,1500
