Agent,Learning Rate,Learning rate b,Gamma,Episodes,Solved Episode
Basic REINFORCE,0.01,0.01,0.95,1500,500
Actor-Critic,0.0001,0.01,0.99,1500,500
Actor-Critic,0.001,0.001,0.99,1500,600
Basic REINFORCE,0.001,0.01,0.99,1500,700
Actor-Critic,0.0001,0.001,0.99,1500,700
REINFORCE + Baseline,0.001,0.0001,0.99,1500,700
Basic REINFORCE,0.001,0.001,0.99,1500,800
REINFORCE + Baseline,0.01,0.01,0.99,1500,800
REINFORCE + Baseline,0.001,0.01,0.99,1500,800
Basic REINFORCE,0.001,0.0001,0.99,1500,800
Basic REINFORCE,0.01,0.0001,0.95,1500,1000
REINFORCE + Baseline,0.001,0.001,0.99,1500,1000
REINFORCE + Baseline,0.01,0.0001,0.99,1500,1000
REINFORCE + Baseline,0.001,0.0001,0.95,1500,1300
Basic REINFORCE,0.01,0.001,0.95,1500,1300
REINFORCE + Baseline,0.01,0.001,0.99,1500,1400
Actor-Critic,0.01,0.001,0.95,1500,1500
REINFORCE + Baseline,0.01,0.001,0.95,1500,1500
REINFORCE + Baseline,0.01,0.01,0.95,1500,1500
Actor-Critic,0.01,0.01,0.95,1500,1500
Actor-Critic,0.01,0.0001,0.99,1500,1500
Actor-Critic,0.01,0.01,0.99,1500,1500
Actor-Critic,0.01,0.001,0.99,1500,1500
Actor-Critic,0.01,0.0001,0.95,1500,1500
Actor-Critic,0.001,0.01,0.99,1500,1500
REINFORCE + Baseline,0.01,0.0001,0.95,1500,1500
Actor-Critic,0.001,0.0001,0.99,1500,1500
Basic REINFORCE,0.001,0.01,0.95,1500,1500
REINFORCE + Baseline,0.001,0.01,0.95,1500,1500
Basic REINFORCE,0.01,0.0001,0.99,1500,1500
Basic REINFORCE,0.01,0.001,0.99,1500,1500
Basic REINFORCE,0.01,0.01,0.99,1500,1500
REINFORCE + Baseline,0.001,0.001,0.95,1500,1500
Basic REINFORCE,0.001,0.001,0.95,1500,1500
Actor-Critic,0.001,0.01,0.95,1500,1500
Basic REINFORCE,0.001,0.0001,0.95,1500,1500
Actor-Critic,0.001,0.0001,0.95,1500,1500
Basic REINFORCE,0.0001,0.01,0.99,1500,1500
REINFORCE + Baseline,0.0001,0.01,0.99,1500,1500
Actor-Critic,0.001,0.001,0.95,1500,1500
Basic REINFORCE,0.0001,0.001,0.99,1500,1500
REINFORCE + Baseline,0.0001,0.001,0.99,1500,1500
Basic REINFORCE,0.0001,0.0001,0.99,1500,1500
REINFORCE + Baseline,0.0001,0.0001,0.99,1500,1500
Actor-Critic,0.0001,0.0001,0.99,1500,1500
Basic REINFORCE,0.0001,0.01,0.95,1500,1500
REINFORCE + Baseline,0.0001,0.01,0.95,1500,1500
Actor-Critic,0.0001,0.01,0.95,1500,1500
Basic REINFORCE,0.0001,0.001,0.95,1500,1500
REINFORCE + Baseline,0.0001,0.001,0.95,1500,1500
Actor-Critic,0.0001,0.001,0.95,1500,1500
Basic REINFORCE,0.0001,0.0001,0.95,1500,1500
REINFORCE + Baseline,0.0001,0.0001,0.95,1500,1500
Actor-Critic,0.0001,0.0001,0.95,1500,1500
