Experiment,LR,Critic LR,Gamma,Solved Episodes,Final Reward
"{Acrobot,MC}->CartPole",0.01,0.01,0.99,1000,9.39
"{CartPole,Acrobot}->MC",0.01,0.01,0.99,1000,-99.89999999999856
"{Acrobot,MC}->CartPole",0.01,0.001,0.99,1000,9.39
"{CartPole,Acrobot}->MC",0.01,0.001,0.99,1000,-399.5999999999942
"{Acrobot,MC}->CartPole",0.01,0.01,0.95,1000,9.43
"{CartPole,Acrobot}->MC",0.01,0.01,0.95,1000,0.0
"{Acrobot,MC}->CartPole",0.01,0.001,0.95,1000,9.37
"{CartPole,Acrobot}->MC",0.01,0.001,0.95,1000,0.0
"{Acrobot,MC}->CartPole",0.001,0.01,0.99,1000,174.83
"{CartPole,Acrobot}->MC",0.001,0.01,0.99,1000,-99.89999999999856
"{Acrobot,MC}->CartPole",0.001,0.001,0.99,1000,89.8
"{CartPole,Acrobot}->MC",0.001,0.001,0.99,1000,-399.5999999999942
"{Acrobot,MC}->CartPole",0.001,0.01,0.95,1000,9.36
"{CartPole,Acrobot}->MC",0.001,0.01,0.95,1000,-99.89999999999856
"{Acrobot,MC}->CartPole",0.001,0.001,0.95,1000,9.27
"{CartPole,Acrobot}->MC",0.001,0.001,0.95,1000,-99.89999999999856
