episode,avg_reward_last100,avg_loss_last100,solved (>=475)
100,22.7,0.1678990037739277,False
200,132.02,56.9523113822937,False
300,254.82,65.89271207809448,False
400,188.42,21.133320697546004,False
500,415.21,18.792641237080097,False
600,245.35,19.524573976397516,False
700,290.27,26.34038914680481,False
800,357.67,17.235101852416992,False
900,396.85,23.259961247444153,False
1000,414.16,21.16560877799988,False
1100,461.49,23.751852735877037,False
1200,458.52,15.556727617383004,False
1300,474.58,16.156704895496368,False
1400,463.4,12.833204841017723,False
1500,484.73,11.440702804923058,True
1600,479.25,23.38384069800377,True
1700,469.85,27.122004893571138,False
1800,361.61,116.12099900364876,False
1900,291.34,45.563517615795135,False
2000,415.36,32.91846974849701,False
